Metric		Current
TOTAL_NUMBER_OF_FILES		8,458
NUMBER_OF_FILES_MAIN		178
LINES_OF_CODE_MAIN		20,147
NUMBER_OF_FILES_MAIN_EXT_PHP		145
LINES_OF_CODE_MAIN_EXT_PHP		8,467
NUMBER_OF_FILES_MAIN_EXT_JS		10
LINES_OF_CODE_MAIN_EXT_JS		7,864
NUMBER_OF_FILES_MAIN_EXT_CSS		12
LINES_OF_CODE_MAIN_EXT_CSS		2,653
NUMBER_OF_FILES_MAIN_EXT_HTML		1
LINES_OF_CODE_MAIN_EXT_HTML		457
NUMBER_OF_FILES_MAIN_EXT_SCSS		5
LINES_OF_CODE_MAIN_EXT_SCSS		315
NUMBER_OF_FILES_MAIN_EXT_LESS		2
LINES_OF_CODE_MAIN_EXT_LESS		239
NUMBER_OF_FILES_MAIN_EXT_SQL		1
LINES_OF_CODE_MAIN_EXT_SQL		111
NUMBER_OF_FILES_MAIN_EXT_XML		1
LINES_OF_CODE_MAIN_EXT_XML		33
NUMBER_OF_FILES_MAIN_EXT_RB		1
LINES_OF_CODE_MAIN_EXT_RB		8
NUMBER_OF_FILES_TEST		3
LINES_OF_CODE_TEST		27
NUMBER_OF_FILES_TEST_EXT_PHP		3
LINES_OF_CODE_TEST_EXT_PHP		27
TEST_VS_MAIN_LINES_OF_CODE_PERCENTAGE		0.13
NUMBER_OF_FILES_GENERATED		1
LINES_OF_CODE_GENERATED		2,777
NUMBER_OF_FILES_GENERATED_EXT_JSON		1
LINES_OF_CODE_GENERATED_EXT_JSON		2,777
NUMBER_OF_FILES_BUILD_AND_DEPLOYMENT		0
LINES_OF_CODE_BUILD_AND_DEPLOYMENT		0
NUMBER_OF_FILES_OTHER		8
LINES_OF_CODE_OTHER		3,222
NUMBER_OF_FILES_OTHER_EXT_JSON		3
LINES_OF_CODE_OTHER_EXT_JSON		2,872
NUMBER_OF_FILES_OTHER_EXT_SVG		2
LINES_OF_CODE_OTHER_EXT_SVG		245
NUMBER_OF_FILES_OTHER_EXT_MD		2
LINES_OF_CODE_OTHER_EXT_MD		103
NUMBER_OF_FILES_OTHER_EXT_TXT		1
LINES_OF_CODE_OTHER_EXT_TXT		2
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_APP		28
LINES_OF_CODE_DECOMPOSITION_PRIMARY_APP		839
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_APP_EXT_PHP		28
LINES_OF_CODE_DECOMPOSITION_PRIMARY_APP_EXT_PHP		839
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_ROOT		3
LINES_OF_CODE_DECOMPOSITION_PRIMARY_ROOT		157
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_ROOT_EXT_SQL		1
LINES_OF_CODE_DECOMPOSITION_PRIMARY_ROOT_EXT_SQL		111
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_ROOT_EXT_XML		1
LINES_OF_CODE_DECOMPOSITION_PRIMARY_ROOT_EXT_XML		33
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_ROOT_EXT_JS		1
LINES_OF_CODE_DECOMPOSITION_PRIMARY_ROOT_EXT_JS		13
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_BOOTSTRAP		2
LINES_OF_CODE_DECOMPOSITION_PRIMARY_BOOTSTRAP		18
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_BOOTSTRAP_EXT_PHP		2
LINES_OF_CODE_DECOMPOSITION_PRIMARY_BOOTSTRAP_EXT_PHP		18
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_CONFIG		10
LINES_OF_CODE_DECOMPOSITION_PRIMARY_CONFIG		483
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_CONFIG_EXT_PHP		10
LINES_OF_CODE_DECOMPOSITION_PRIMARY_CONFIG_EXT_PHP		483
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_DATABASE		21
LINES_OF_CODE_DECOMPOSITION_PRIMARY_DATABASE		486
